Crop groups,Crops,Selections,Hybrids,Mutants,Others,Total
Vegetable Crops,Carrot,7,0,0,6,13
Vegetable Crops,French bean,6,0,1,10,17
Vegetable Crops,Cowpea (veg.),7,0,0,5,12
Vegetable Crops,Dolichos bean,4,0,0,3,7
Vegetable Crops,Garden pea,0,0,0,22,22
Vegetable Crops,Cluster bean,2,0,0,0,2
Vegetable Crops,Sword bean,1,0,0,0,1
Vegetable Crops,Kachri (melon),2,0,0,0,2
Vegetable Crops,Kakri (Cucumber ),2,0,0,0,2
Vegetable Crops,Spine gourd,1,0,0,0,1
Vegetable Crops,Teasel gourd,1,0,0,0,1
Vegetable Crops,Sub-Total,392,97,5,113,607
Ornamental Crops,Tuberose,0,2,0,4,6
Ornamental Crops,Bougainvillea,2,0,1,3,6
Ornamental Crops,China aster,0,0,0,4,4
Ornamental Crops,Chrysanthemum,6,0,3,11,20
Ornamental Crops,Gladiolus,0,4,1,13,18
Ornamental Crops,Rose,1,0,1,2,4
Ornamental Crops,Carnation,1,0,2,0,3
Ornamental Crops,Jasminum,3,0,0,0,3
Ornamental Crops,Crossandra,0,2,0,0,2
Ornamental Crops,Gerbera,1,0,0,0,1
Ornamental Crops,Dianthus,0,1,0,0,1
Ornamental Crops,Sub-Total,14,9,8,37,68
Plantation and Spice Crops,Coconut,21,16,0,0,37
Plantation and Spice Crops,Arecanut,1,2,0,7,10
Plantation and Spice Crops,Cocoa,9,8,0,0,17
Plantation and Spice Crops,Cashew,25,12,0,0,37
Plantation and Spice Crops,Black pepper,12,4,0,0,16
Plantation and Spice Crops,Cardamom,12,1,0,0,13
Plantation and Spice Crops,Ginger,6,0,1,0,7
Plantation and Spice Crops,Turmeric,21,0,2,0,23
Plantation and Spice Crops,Cinnamon,6,0,0,0,6
Plantation and Spice Crops,Nutmeg,3,0,0,0,3
Plantation and Spice Crops,Coriander,23,0,1,0,24
Plantation and Spice Crops,Cumin,8,0,1,0,9
Plantation and Spice Crops,Fennel,7,0,0,3,10
Plantation and Spice Crops,Fenugreek,14,0,2,1,17
Plantation and Spice Crops,Ajowain,2,0,0,0,2
Plantation and Spice Crops,Dill,2,0,0,0,2
Plantation and Spice Crops,Nigella,1,0,0,0,1
Plantation and Spice Crops,Anise,1,0,0,0,1
Plantation and Spice Crops,Celery,1,0,0,0,1
Plantation and Spice Crops,Sub-Total,175,43,7,11,236
Fruit Crops,Ber,2,1,0,0,3
Fruit Crops,Aonla,1,0,0,0,1
Fruit Crops,Khejri,1,0,0,0,1
Fruit Crops,Banana,1,3,0,0,4
Fruit Crops,Grapes,5,13,0,3,21
Fruit Crops,Pomegranate,6,4,0,0,10
Fruit Crops,Litchi,4,2,0,0,6
Fruit Crops,Mango,4,23,0,0,27
Fruit Crops,Guava,3,4,0,1,8
Fruit Crops,Papaya,15,4,0,0,19
Fruit Crops,Apple,0,16,1,0,17
Fruit Crops,Apricot,0,0,3,0,3
Fruit Crops,Pear,0,0,0,3,3
Fruit Crops,Peach,0,0,0,1,1
Fruit Crops,Plum,0,0,0,2,2
Fruit Crops,Almond,4,0,0,0,4
Fruit Crops,Walnut,2,0,0,0,2
Fruit Crops,Sweet Orange,2,0,0,0,2
Fruit Crops,Sub-Total,50,70,4,10,134
Medicinal and Aromatic Plants,Betel vine,3,0,0,2,5
Medicinal and Aromatic Plants,Opium poppy,6,0,0,0,6
Medicinal and Aromatic Plants,Asalio,1,0,0,0,1
Medicinal and Aromatic Plants,Safed musli,1,0,0,0,1
Medicinal and Aromatic Plants,Periwinkle,0,0,0,1,1
Medicinal and Aromatic Plants,Senna,1,0,0,0,1
Medicinal and Aromatic Plants,Yam,2,0,0,0,2
Medicinal and Aromatic Plants,Foxglove,0,0,0,1,1
Medicinal and Aromatic Plants,Yellow horned poppy,0,0,0,1,1
Medicinal and Aromatic Plants,Liquorice,0,0,0,1,1
Medicinal and Aromatic Plants,Sarpagandha,1,0,0,0,1
Medicinal and Aromatic Plants,Long pepper,1,0,0,0,1
Medicinal and Aromatic Plants,Isabgol,4,0,1,1,6
Medicinal and Aromatic Plants,Solanum laciniatum,0,0,0,1,1
Medicinal and Aromatic Plants,S. viarum,0,0,1,1,2
Medicinal and Aromatic Plants,Ashwagandha,1,0,0,1,2
Medicinal and Aromatic Plants,Lemon grass,1,0,0,0,1
Medicinal and Aromatic Plants,Palmarosa,0,0,0,2,2
Medicinal and Aromatic Plants,Jasminum grandiflorum,1,0,0,0,1
Medicinal and Aromatic Plants,Spear mint,0,0,0,1,1
Medicinal and Aromatic Plants,Mushakbala,0,0,0,1,1
Medicinal and Aromatic Plants,Vetiver,0,0,0,1,1
Medicinal and Aromatic Plants,Mucuna,1,0,0,0,1
Medicinal and Aromatic Plants,Sub-Total,24,0,2,15,41
Grad Total,Grand Total,655,0,26,186,1086
